Time,Open,High,Low,Last,Change,%Chg,Volume
02/24/2022,1.35431,1.35483,1.32724,1.33721,-0.01711,-1.26%,399997
02/25/2022,1.33728,1.34378,1.33661,1.34049,0.00328,+0.25%,294436
02/28/2022,1.33225,1.34311,1.33089,1.34063,0.00014,+0.01%,304679
03/01/2022,1.3406,1.34364,1.33019,1.33104,-0.00959,-0.72%,286135
03/02/2022,1.33102,1.34061,1.32711,1.3405,0.00946,+0.71%,314755
03/03/2022,1.34049,1.34169,1.3318,1.33462,-0.00588,-0.44%,270242
03/04/2022,1.33462,1.33537,1.31864,1.32101,-0.01361,-1.02%,302501
03/07/2022,1.32137,1.32355,1.31012,1.31027,-0.01074,-0.81%,369583
03/08/2022,1.31024,1.31437,1.30816,1.30941,-0.00086,-0.07%,390742
03/09/2022,1.3094,1.31891,1.30873,1.31741,0.008,+0.61%,285562
03/10/2022,1.31745,1.31939,1.30806,1.30806,-0.00935,-0.71%,287538
03/11/2022,1.30803,1.31244,1.30271,1.30353,-0.00453,-0.35%,285076
03/14/2022,1.30485,1.30783,1.29979,1.30009,-0.00344,-0.26%,228910
03/15/2022,1.30009,1.30882,1.29992,1.30409,0.004,+0.31%,262469
03/16/2022,1.30407,1.31559,1.30341,1.3148,0.01071,+0.82%,299948
03/17/2022,1.31479,1.321,1.30877,1.31479,-1.0E-5,0.00%,269244
03/18/2022,1.31478,1.31966,1.31105,1.3177,0.00291,+0.22%,236292
03/21/2022,1.31737,1.32095,1.31267,1.31599,-0.00171,-0.13%,205025
03/22/2022,1.31593,1.32733,1.31198,1.32619,0.0102,+0.78%,245304
03/23/2022,1.32617,1.32974,1.31752,1.32023,-0.00596,-0.45%,213734
03/24/2022,1.32021,1.32136,1.31566,1.31859,-0.00164,-0.12%,246168
03/25/2022,1.31858,1.32237,1.31597,1.3181,-0.00049,-0.04%,242265
03/28/2022,1.31781,1.31821,1.30672,1.30901,-0.00909,-0.69%,265146
03/29/2022,1.30899,1.31595,1.30512,1.30895,-6.0E-5,0.00%,313947
03/30/2022,1.30881,1.31821,1.30826,1.31324,0.00429,+0.33%,285575
03/31/2022,1.31314,1.31747,1.31061,1.31377,0.00053,+0.04%,278454
04/01/2022,1.31376,1.31507,1.30862,1.3112,-0.00257,-0.20%,256235
04/04/2022,1.31015,1.31366,1.30896,1.3109,-0.0003,-0.02%,193828
04/05/2022,1.31093,1.31664,1.30665,1.30682,-0.00408,-0.31%,228302
04/06/2022,1.30684,1.31075,1.30449,1.30662,-0.0002,-0.02%,270014
04/07/2022,1.30664,1.31059,1.3052,1.30732,0.0007,+0.05%,240583
04/08/2022,1.30731,1.30788,1.29827,1.30327,-0.00405,-0.31%,211926
04/11/2022,1.30411,1.30565,1.29887,1.30276,-0.00051,-0.04%,222211
04/12/2022,1.30276,1.30535,1.29941,1.29997,-0.00279,-0.21%,262320
04/13/2022,1.29993,1.31171,1.29734,1.31163,0.01166,+0.90%,231871
04/14/2022,1.3115,1.31467,1.30334,1.30742,-0.00421,-0.32%,239322
04/15/2022,1.30611,1.30771,1.30448,1.3058,-0.00162,-0.12%,261354
04/18/2022,1.30502,1.3064,1.29982,1.29982,-0.00598,-0.46%,155991
04/19/2022,1.29997,1.30405,1.29805,1.29878,-0.00104,-0.08%,217073
04/20/2022,1.29876,1.30701,1.29874,1.3067,0.00792,+0.61%,230961
04/21/2022,1.30646,1.30901,1.30226,1.30267,-0.00403,-0.31%,241447
04/22/2022,1.30269,1.30341,1.28221,1.28221,-0.02046,-1.57%,246967
04/25/2022,1.28598,1.28598,1.26971,1.27367,-0.00854,-0.67%,288950
04/26/2022,1.27365,1.27717,1.25681,1.25681,-0.01686,-1.32%,266673
04/27/2022,1.25677,1.26014,1.25024,1.25414,-0.00267,-0.21%,264010
